"","isSeasonCurrent","slugSeason","yearSeason","urlSeasonBREF","nameTeam","isPlayoffTeam","winsTeam","lossesTeam","winsPythagTeam","lossesPythagTeam","marginVictoryTeam","ratioFTtoFGATeam","ratioFTtoFGAOpponent","nameArena","attendanceArenaTeam","attendancePerGameTeam","slugTeamBREF","urlBREFTeamData","idTeamNBA","urlThumbnailTeam","ageMeanMisc","ratingStrengthOfScheduleMisc","ratingSimpleSystemMisc","ortgTeamMisc","drtgTeamMisc","nrtgTeamMisc","paceTeamMisc","pctFTRateMisc","pct3PRateMisc","pctTrueShootingeTeamMisc","pctEFGTeamMisc","pctTOVTeamMisc","pctORBTeamMisc","pctEFGTeamOppMisc","pctTOVOpponentMisc","pctDRBOpponentMisc"
"1",FALSE,"2013-14",2014,"https://www.basketball-reference.com/leagues/NBA_2014.html","San Antonio Spurs",TRUE,62,20,61,21,7.72,0.188,0.184,"AT&T Center",755031,18415,"SAS","https://www.basketball-reference.com/teams/SAS/2014.html",1610612759,"https://stats.nba.com/media/img/teams/logos/SAS_logo.svg",28.9,0.28,8,110.5,102.4,8.1,95,0.24,0.257,0.571,0.537,13.5,22.7,0.482,12.8,76.4
"2",FALSE,"2013-14",2014,"https://www.basketball-reference.com/leagues/NBA_2014.html","Los Angeles Clippers",TRUE,57,25,59,23,6.98,0.258,0.222,"STAPLES Center",787692,19212,"LAC","https://www.basketball-reference.com/teams/LAC/2014.html",1610612746,"https://stats.nba.com/media/img/teams/logos/LAC_logo.svg",28.1,0.3,7.27,112.1,104.8,7.3,95.9,0.353,0.291,0.567,0.526,12.7,25,0.484,13.8,72.5
"3",FALSE,"2013-14",2014,"https://www.basketball-reference.com/leagues/NBA_2014.html","Oklahoma City Thunder",TRUE,59,23,58,24,6.34,0.244,0.221,"Chesapeake Energy Arena",746323,18203,"OKC","https://www.basketball-reference.com/teams/OKC/2014.html",1610612760,"https://stats.nba.com/media/img/teams/logos/OKC_logo.svg",26.2,0.32,6.66,110.5,103.9,6.6,95.4,0.303,0.271,0.566,0.52,14,26.5,0.488,13.9,75.6
"4",FALSE,"2013-14",2014,"https://www.basketball-reference.com/leagues/NBA_2014.html","Golden State Warriors",TRUE,51,31,54,28,4.8,0.186,0.224,"Oracle Arena",803436,19596,"GSW","https://www.basketball-reference.com/teams/GSW/2014.html",1610612744,"https://stats.nba.com/media/img/teams/logos/GSW_logo.svg",26.3,0.34,5.15,107.5,102.6,4.9,96.2,0.247,0.291,0.55,0.517,13.8,25.1,0.477,13.6,76.3
"5",FALSE,"2013-14",2014,"https://www.basketball-reference.com/leagues/NBA_2014.html","Houston Rockets",TRUE,54,28,53,29,4.56,0.275,0.193,"Toyota Center",743082,18124,"HOU","https://www.basketball-reference.com/teams/HOU/2014.html",1610612745,"https://stats.nba.com/media/img/teams/logos/HOU_logo.svg",25.4,0.5,5.06,111,106.3,4.7,96.3,0.386,0.33,0.571,0.531,14.6,27.4,0.489,12.5,74.1
"6",FALSE,"2013-14",2014,"https://www.basketball-reference.com/leagues/NBA_2014.html","Portland Trail Blazers",TRUE,54,28,52,30,3.99,0.22,0.194,"Moda Center",809612,19747,"POR","https://www.basketball-reference.com/teams/POR/2014.html",1610612757,"https://stats.nba.com/media/img/teams/logos/POR_logo.svg",25.8,0.45,4.44,111.5,107.4,4.1,94.9,0.27,0.29,0.548,0.504,12.4,28,0.488,11,74.7
"7",FALSE,"2013-14",2014,"https://www.basketball-reference.com/leagues/NBA_2014.html","Miami Heat",TRUE,54,28,54,28,4.76,0.228,0.212,"AmericanAirlines Arena",811036,19781,"MIA","https://www.basketball-reference.com/teams/MIA/2014.html",1610612748,"https://stats.nba.com/media/img/teams/logos/MIA_logo.svg",30.6,-0.61,4.15,110.9,105.8,5.1,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.511,15.8,73
"8",FALSE,"2013-14",2014,"https://www.basketball-reference.com/leagues/NBA_2014.html","Indiana Pacers",TRUE,56,26,54,28,4.4,0.226,0.197,"Bankers Life Fieldhouse",717542,17501,"IND","https://www.basketball-reference.com/teams/IND/2014.html",1610612754,"https://stats.nba.com/media/img/teams/logos/IND_logo.svg",27.2,-0.77,3.63,104.1,99.3,4.8,92.5,0.29,0.235,0.535,0.49,14.3,24.9,0.46,12.9,76.8
"9",FALSE,"2013-14",2014,"https://www.basketball-reference.com/leagues/NBA_2014.html","Minnesota Timberwolves",FALSE,40,42,48,34,2.67,0.249,0.177,"Target Center",597157,14565,"MIN","https://www.basketball-reference.com/teams/MIN/2014.html",1610612750,"https://stats.nba.com/media/img/teams/logos/MIN_logo.svg",26.3,0.43,3.1,108.9,106.2,2.7,97.3,0.321,0.245,0.535,0.486,12.2,27.4,0.518,14.8,74.4
"10",FALSE,"2013-14",2014,"https://www.basketball-reference.com/leagues/NBA_2014.html","Phoenix Suns",FALSE,48,34,48,34,2.63,0.222,0.237,"US Airways Center",650739,15872,"PHO","https://www.basketball-reference.com/teams/PHO/2014.html",1610612756,"https://stats.nba.com/media/img/teams/logos/PHX_logo.svg",26.2,0.39,3.02,109.5,106.7,2.8,95.8,0.293,0.3,0.558,0.519,14,26.4,0.496,13.9,73.7
