yearSeason,urlSeasonBREF,winsTeam,lossesTeam,winsPythagTeam,lossesPythagTeam,marginVictoryTeam,ratioFTtoFGATeam,ratioFTtoFGAOpponent,nameArena,attendancePerGameTeam,slugTeamBREF,urlBREFTeamData,idTeamNBA,urlThumbnailTeam,ageMeanMisc,ratingStrengthOfScheduleMisc,ratingSimpleSystemMisc,ortgTeamMisc,drtgTeamMisc,nrtgTeamMisc,paceTeamMisc,pctFTRateMisc,pct3PRateMisc,pctTrueShootingeTeamMisc,pctEFGTeamMisc,pctTOVTeamMisc,pctORBTeamMisc,pctEFGTeamOppMisc,pctTOVOpponentMisc,pctDRBOpponentMisc,isPlayoffTeam,beatExpectedWins
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,29,53,27,55,-6.02,0.185,0.237,Philips Arena,15328,ATL,https://www.basketball-reference.com/teams/ATL/2019.html,1610612737,https://stats.nba.com/media/img/teams/logos/ATL_logo.svg,25.1,-0.04,-6.06,108.1,113.9,-5.8,103.9,0.255,0.403,0.555,0.522,14.3,24.7,0.541,12.8,76.4,FALSE,TRUE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,49,33,52,30,4.44,0.188,0.198,TD Garden,18624,BOS,https://www.basketball-reference.com/teams/BOS/2019.html,1610612738,https://stats.nba.com/media/img/teams/logos/BOS_logo.svg,25.7,-0.54,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.514,13.4,77,TRUE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,42,40,41,41,-0.07,0.201,0.19,Barclays Center,14941,BRK,https://www.basketball-reference.com/teams/BRK/2019.html,1610612751,https://stats.nba.com/media/img/teams/logos/BKN_logo.svg,25.4,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.284,0.403,0.556,0.52,13,23.8,0.512,11.6,76.4,TRUE,TRUE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,39,43,38,44,-1.1,0.164,0.179,United Center,16502,CHI,https://www.basketball-reference.com/teams/CHI/2019.html,1610612741,https://stats.nba.com/media/img/teams/logos/CHI_logo.svg,26.6,-0.22,-1.32,111.4,112.5,-1.1,98.7,0.257,0.378,0.554,0.514,10.9,21.7,0.538,12.1,77.1,FALSE,TRUE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,22,60,21,61,-8.41,0.233,0.188,Spectrum Center,20085,CHO,https://www.basketball-reference.com/teams/CHO/2019.html,1610612766,https://stats.nba.com/media/img/teams/logos/CHA_logo.svg,24,0.1,-8.32,104.8,113.2,-8.4,99,0.235,0.295,0.541,0.505,12.7,19.4,0.541,11.9,77.3,FALSE,TRUE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,19,63,19,63,-9.61,0.214,0.181,Quicken Loans Arena,19350,CLE,https://www.basketball-reference.com/teams/CLE/2019.html,1610612739,https://stats.nba.com/media/img/teams/logos/CLE_logo.svg,25.2,0.22,-9.39,107.7,117.6,-9.9,96.6,0.236,0.332,0.54,0.503,12.2,23.7,0.564,11.5,77,FALSE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,33,49,38,44,-1.28,0.166,0.191,American Airlines Center,20014,DAL,https://www.basketball-reference.com/teams/DAL/2019.html,1610612742,https://stats.nba.com/media/img/teams/logos/DAL_logo.svg,26.9,0.42,-0.87,109.4,110.7,-1.3,99,0.291,0.422,0.555,0.519,12.7,22.7,0.522,11.6,77.5,FALSE,FALSE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,54,28,51,31,3.95,0.198,0.194,Pepsi Center,18450,DEN,https://www.basketball-reference.com/teams/DEN/2019.html,1610610027,https://stats.nba.com/media/img/teams/logos/NBA_logo.svg,24.9,0.24,4.19,113,108.9,4.1,97.7,0.232,0.348,0.558,0.527,11.9,26.6,0.521,12.3,78,TRUE,TRUE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,41,41,40,42,-0.24,0.169,0.211,Little Caesars Arena,16487,DET,https://www.basketball-reference.com/teams/DET/2019.html,1610612765,https://stats.nba.com/media/img/teams/logos/DET_logo.svg,26.9,-0.31,-0.56,109,109.2,-0.2,97.4,0.262,0.394,0.544,0.509,12.3,24.8,0.526,12.8,78.7,TRUE,TRUE
2019,https://www.basketball-reference.com/leagues/NBA_2019.html,57,25,56,26,6.46,0.195,0.205,Oracle Arena,19596,GSW,https://www.basketball-reference.com/teams/GSW/2019.html,1610612744,https://stats.nba.com/media/img/teams/logos/GSW_logo.svg,28.4,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.508,11.7,77.1,TRUE,TRUE
